high_school,high_school_name,zip,county,students_9_to_12,ec_own_ses_hs,ec_own_ses_se_hs,ec_parent_ses_hs,ec_parent_ses_se_hs,ec_high_own_ses_hs,ec_high_own_ses_se_hs,ec_high_parent_ses_hs,ec_high_parent_ses_se_hs,exposure_own_ses_hs,exposure_parent_ses_hs,bias_own_ses_hs,bias_parent_ses_hs,bias_high_own_ses_hs,bias_high_parent_ses_hs,clustering_hs,volunteering_rate_hs
00048213,Lee Academy,72360,5077,75,,,,,,,,,,,,,,,.78778356,.058182709
00048315,Desoto School,72390,5107,55,,,,,,,,,,,,,,,.81381398,.087046996
00048337,Crowley's Ridge Academy,72450,5055,62,,,,,,,,,,,,,,,.80521512,.081656046
00048359,Harding Academy,72143,5145,232,,,,,,,,,,,,,,,.74276215,.041521948
00048541,Marvell Academy,72366,5107,58,,,,,,,,,,,,,,,.85203862,.024061786
00048971,Ozark Adventist Academy,72734,5007,146,1.4250799,.065970004,1.10813,.088359997,1.44091,.06199,1.15069,.08839,1.3467799,1.10208,-.058139998,-.0054899999,-.06989,-.04411,.64678001,.058680002
00069958,Alverno Heights Academy,91024,6037,161,,,,,,,,,,,,,,,.68953729,.079792894
00070012,Bishop Garcia Diego HS,93110,6083,265,,,,,,,,,,,,,,,.69411933,.075406395
00070103,St Genevieve HS,91402,6037,568,1.5658,.048450001,1.11708,.074720003,1.68004,.036559999,1.10774,.075329997,1.52736,1.09769,-.02517,-.01767,-.099959999,-.0091500003,.59705001,.03909
00070125,St Joseph HS,93455,6083,388,1.7329201,.052979998,,,1.78494,.03813,,,1.71255,,-.01189,,-.042270001,,.58767003,.056419998
00070147,St Paul HS,90670,6037,620,1.43731,.053320002,1.2560101,.082369998,1.55616,.044670001,1.46609,.064750001,1.39598,1.30668,-.029610001,.03878,-.11475,-.12199,.57481998,.02957
00070191,Notre Dame Academy Girls HS,90064,6037,353,,,,,,,,,,,,,,,.64464301,.10067242
00070293,Sacred Heart HS,90031,6037,260,1.17291,.076499999,,,1.29476,.069969997,,,1.13624,,-.032280002,,-.13952,,.62373,.05455
00070577,Crespi Carmelite HS,91316,6037,506,,,,,,,,,,,,,,,.59354484,.033642441
00070602,St Anthony HS,90802,6037,575,1.5705301,.06041,,,1.6162,.05153,,,1.48268,,-.059250001,,-.090049997,,.65948999,.065739997
00070624,Paraclete HS,93536,6037,660,1.56032,.039129999,1.44634,.053059999,1.66847,.03379,1.4736,.048659999,1.53644,1.47809,-.01555,.02148,-.085929997,.0030400001,.54022002,.063349999
00070635,Holy Family HS,91205,6037,123,1.50959,.070929997,,,1.60435,.057720002,,,1.5005701,,-.0060100001,,-.069159999,,.64340001,.033489998
00070861,St Mary's Academy,90301,6037,244,1.4934,.060380001,,,1.57289,.049120001,,,1.40773,,-.060860001,,-.11732,,.60184002,.045340002
00070974,St Francis HS,91011,6037,680,,,,,,,,,,,,,,,.59446943,.0489388
00070985,St Lucys Priory HS,91741,6037,542,1.80431,.034540001,,,1.87124,.023019999,,,1.7980601,,-.00348,,-.0407,,.58947003,.06876
00070996,La Reina HS,91360,6111,277,,,,,,,,,,,,,,,.62979972,.098773696
00071027,Mayfield Sr School,91105,6037,332,,,,,,,,,,,,,,,.68430144,.093052983
00071093,St Joseph HS,90713,6037,565,1.7016799,.04126,1.4679,.06002,1.79684,.027690001,1.48234,.055810001,1.69019,1.43963,-.0068000001,-.019640001,-.063100003,-.02967,.56163001,.057580002
00071107,Louisville HS,91364,6037,342,,,,,,,,,,,,,,,.60575581,.080679499
00071151,St Bernard HS,90293,6037,237,1.58192,.060219999,,,1.6693701,.044750001,,,1.51298,,-.045559999,,-.10337,,.63283998,.040789999
00071399,Bishop Amat Memorial HS,91746,6037,1340,1.6238101,.03469,1.40873,.051890001,1.7165,.02421,1.45274,.047029998,1.58727,1.38029,-.023019999,-.0206,-.081419997,-.052480001,.47639999,.03805
00071424,Chaminade College Preparatory HS,91304,6037,1301,1.8375601,.033860002,1.66205,.03819,1.90765,.01531,1.66693,.033519998,1.8298399,1.64766,-.00422,-.0087299999,-.042520002,-.01169,.54632998,.065669999
00071446,Notre Dame HS,91423,6037,1229,1.83029,.03176,1.5358,.04211,1.89345,.01572,1.56037,.041379999,1.82017,1.5384099,-.00556,.0017,-.040259998,-.01427,.55479002,.047789998
00071457,La Salle HS,91107,6037,665,1.8551,.03531,,,1.90684,.019160001,,,1.82082,,-.018829999,,-.04724,,.58314002,.05852
00071468,Cantwell Sacred Heart Of Mary,90640,6037,446,1.38983,.053769998,,,1.51543,.046119999,,,1.3841,,-.0041399999,,-.09488,,.54543,.039340001
00071559,Providence HS,91505,6037,434,,,,,,,,,,,,,,,.6452148,.04831329
00071592,Villanova Preparatory School,93023,6111,261,,,,,,,,,,,,,,,.65572786,.072970264
00071639,Damien HS,91750,6037,928,1.73098,.039050002,1.65627,.049449999,1.82049,.02908,1.64182,.042909998,1.70815,1.59193,-.01336,-.040410001,-.06577,-.031330001,.53637999,.032529999
00071741,Loyola HS,90006,6037,1242,1.7304,.048920002,1.63577,.043170001,1.9089,.017990001,1.65836,.0363,1.83542,1.62578,.057220001,-.0061499998,-.040029999,-.02004,.54398,.062139999
00071821,San Gabriel Mission HS,91776,6037,206,1.45618,.072729997,,,1.54792,.067129999,,,1.42,,-.02548,,-.09008,,.63134003,.067400001
00071854,Flintridge Sacred Heart Academy,91011,6037,399,,,,,,,,,,,,,,,.62595946,.081311233
00071912,Marymount HS Los Angeles,90077,6037,396,,,,,,,,,,,,,,,.62907374,.074701235
00072086,Verbum Dei HS,90059,6037,300,1.2131,.083750002,,,1.37681,.070040002,,,1.10668,,-.096170001,,-.2441,,.59214997,.024180001
00072315,Woodside Priory School,94028,6081,294,,,,,,,,,,,,,,,.72339553,.077393301
00072483,Immaculate Conception Academy,94110,6075,372,,,,,,,,,,,,,,,.65741074,.058448862
00072596,Archbishop Riordan HS,94112,6075,691,1.80516,.0469,1.06394,.079980001,1.85225,.032919999,1.10631,.081210002,1.78206,1.0784301,-.01296,.01343,-.039390001,-.02585,.55229998,.04208
00072632,Sacred Heart Cathedral Preparatory,94109,6075,1322,1.87595,.026289999,1.08729,.051100001,1.89263,.017000001,1.1085,.050790001,1.85657,1.11764,-.01044,.02716,-.01942,.0081799999,.51376998,.05297
00072767,St Ignatius College Preparatory,94116,6075,1459,1.9055001,.02661,1.36484,.040619999,1.92123,.01422,1.40872,.03906,1.89665,1.38077,-.0046700002,.01154,-.01296,-.02024,.53232998,.071800001
00073148,Junipero Serra HS,94403,6081,833,,,,,,,,,,,,,,,.51779699,.03425746
00073374,Marin Catholic HS,94904,6041,718,,,1.53072,.056770001,,,1.57781,.04817,,1.54838,,.01141,,-.01901,.59754997,.049959999
00073498,Mercy HS,94010,6081,362,1.87833,.03052,1.32379,.068609998,1.87368,.021020001,1.45977,.055980001,1.84263,1.3909301,-.019379999,.048269998,-.01685,-.049490001,.56049001,.055670001
00073942,San Joaquin Memorial HS,93703,6019,567,1.59646,.04493,,,1.72578,.034200002,,,1.59,,-.0040600002,,-.085390002,,.57546997,.050620001
00074017,Garces Memorial HS,93305,6029,479,1.70252,.040879998,1.5987999,.05861,1.7750601,.02939,1.60709,.046259999,1.6756001,1.54897,-.016070001,-.032170001,-.059360001,-.037519999,.53627998,.049120001
00074265,Mission College Prep HS,93401,6079,308,,,,,,,,,,,,,,,.67362702,.086965486
00074276,Notre Dame HS,93901,6053,203,,,,,,,,,,,,,,,.62409079,.13909771
00074356,Palma School,93901,6053,367,,,,,,,,,,,,,,,.57767105,.050019734
00074695,Salesian HS,94804,6013,424,1.73597,.038970001,1.276,.070110001,1.7961,.0285,1.27089,.069569997,1.7112401,1.30221,-.01445,.020129999,-.049589999,.024049999,.58142,.046160001
00074822,Holy Names HS,94618,6001,121,,,,,,,,,,,,,,,.6660682,.070377558
00074833,Bishop O Dowd HS,94605,6001,1236,1.81305,.028179999,1.35739,.052719999,1.8488899,.019440001,1.3686,.048840001,1.79158,1.34182,-.01198,-.0116,-.031989999,-.019950001,.52541,.075680003
00074866,Moreau Catholic HS,94544,6001,943,1.89853,.02166,1.45138,.048560001,1.91451,.01706,1.47989,.04651,1.88073,1.48016,-.0094600003,.01945,-.017960001,.00018,.54706001,.063210003
00074902,De La Salle HS,94518,6013,1040,1.8125499,.035580002,1.73379,.04222,1.86777,.02321,1.76223,.03486,1.81178,1.73121,-.00042999999,-.0014900001,-.0309,-.01792,.509,.039609998
00074913,Carondelet HS,94518,6013,803,1.82801,.03537,,,1.90679,.0207,,,1.84636,,.0099400003,,-.032729998,,.54983997,.066590004
00074924,St Mary's College HS,94706,6001,627,1.7564501,.04961,,,1.80941,.028100001,,,1.7121,,-.025909999,,-.056839999,,.60714,.066679999
00075484,Rosary Academy,92831,6059,371,,,,,,,,,,,,,,,.59136641,.068194211
00075575,Cornelia Connelly School,92804,6059,131,,,,,,,,,,,,,,,.6764189,.092511527
00075677,Mater Dei HS,92707,6059,2152,1.76335,.027690001,1.53694,.043419998,1.83039,.017650001,1.64027,.03328,1.76842,1.5678999,.00287,.019750001,-.035050001,-.046160001,.44332001,.063139997
00075859,Jesuit HS,95608,6067,1083,1.75823,.036180001,1.66821,.03968,1.84504,.02159,1.6842099,.033840001,1.74519,1.6488,-.0074700001,-.01178,-.057209998,-.02148,.52857,.05085
00075906,St Francis Catholic HS,95819,6067,1069,,,,,,,,,,,,,,,.5555253,.081184901
00076105,Mercy HS,96080,6103,100,,,,,,,,,,,,,,,.72290105,.12889454
00076149,Christian Brothers HS,95820,6067,1164,1.62182,.03602,1.54058,.045139998,1.6998301,.02751,1.56306,.04267,1.56152,1.49441,-.038619999,-.0309,-.088569999,-.045940001,.53149998,.057530001
00076262,St Patrick-St Vincent HS,94591,6095,508,1.7509,.041189998,,,1.81995,.025280001,,,1.69537,,-.032749999,,-.073480003,,.58973002,.04998
00076706,Aquinas HS,92404,6071,423,1.42149,.064429998,,,1.55466,.05421,,,1.37702,,-.032299999,,-.12899999,,.64456999,.053490002
00076954,St Augustine HS,92104,6073,731,1.73684,.040290002,,,1.7971801,.030370001,,,1.71822,,-.01084,,-.045960002,,.55700999,.044429999
00076987,Vincent Memorial Catholic HS,92231,6025,263,,,,,,,,,,,,,,,.71891046,.047761366
00077164,Academy Of Our Lady Of Peace,92116,6073,748,1.83018,.044599999,1.54609,.067900002,1.86782,.0229,1.58258,.060559999,1.79303,1.55905,-.020719999,.00832,-.04171,-.01509,.57822001,.075049996
00077539,Justin-Siena,94558,6055,660,,,,,,,,,,,,,,,.57327622,.055449191
00077572,St Bernards Academy,95501,6023,190,,,,,,,,,,,,,,,.72910255,.052611295
00077721,Cardinal Newman HS,95403,6097,619,1.78504,.040679999,,,1.8259,.028170001,,,1.75532,,-.016930001,,-.040210001,,.57090002,.04964
00077732,St Vincent De Paul HS,94952,6097,235,,,,,,,,,,,,,,,.66546863,.069370188
00077798,Central Catholic HS,95351,6099,377,,,,,,,,,,,,,,,.66496968,.059732951
00077867,St Mary's HS,95207,6077,821,1.63664,.033259999,1.60595,.0418,1.72032,.02516,1.59289,.039719999,1.60615,1.5693001,-.01898,-.02335,-.071089998,-.01503,.48596001,.052960001
00078419,The Bishop's School,92037,6073,520,,,,,,,,,,,,,,,.62959969,.085047178
00078736,Agbu Manoogian-Demirdjian School,91306,6037,174,,,,,,,,,,,,,,,.65341753,.058599994
00079398,The Buckley School,91423,6037,319,,,,,,,,,,,,,,,.74833745,.070442192
00080155,Southwestern Academy,91108,6037,140,,,,,,,,,,,,,,,.71933258,.067756847
00080359,Lutheran HS,91750,6037,77,,,,,,,,,,,,,,,.68944567,.049422946
00080406,Orange Lutheran HS,92867,6059,1355,1.76609,.032389998,1.69043,.04146,1.82683,.02039,1.7256,.033629999,1.76572,1.70814,-.00021,.01037,-.03461,-.01022,.48006999,.047559999
00080461,York School,93940,6053,198,,,,,,,,,,,,,,,.72362512,.13072257
00080814,The Thacher School,93023,6111,259,,,,,,,,,,,,,,,.76208264,.075166561
00080905,Sacramento Country Day School,95864,6067,126,,,,,,,,,,,,,,,.75994134,.078484058
00080916,Menlo School,94027,6081,575,,,,,,,,,,,,,,,.63076222,.058369461
00080949,Cate School,93013,6083,291,,,,,,,,,,,,,,,.76374024,.087388329
00080982,Army & Navy Academy,92008,6073,241,,,,,,,,,,,,,,,.64804399,.025810357
00081294,Bais Yaakov School For Girls,90036,6037,301,,,,,,,,,,,,,,,.64158207,
00081341,Le Lycee Francais De Los Angeles,90034,6037,203,,,,,,,,,,,,,,,.71930492,.11950243
00081443,Berean Christian HS,94598,6013,404,1.80193,.052250002,,,1.84875,.02703,,,1.74923,,-.030130001,,-.05689,,.56108999,.053679999
00081476,Brentwood School,90049,6037,467,,,,,,,,,,,,,,,.68751192,.078694038
00081512,Victor Valley Christian Schools,92395,6071,54,,,,,,,,,,,,,,,.70009834,.027771126
00081895,Viewpoint School,91302,6037,532,,,,,,,,,,,,,,,.65930909,.075103574
00081953,Valley Torah HS,91607,6037,224,,,,,,,,,,,,,,,.54043508,.042119101
00081975,Flintridge Preparatory School,91011,6037,400,,,,,,,,,,,,,,,.67232084,.07879471
00081997,Ojai Valley School,93023,6111,119,,,,,,,,,,,,,,,.72924614,.044057619
00082061,Fremont Christian School,94536,6001,205,,,,,,,,,,,,,,,.59872854,.069083869
00082141,Sacramento Waldorf School,95628,6067,147,,,,,,,,,,,,,,,.7046597,.10879793
00082924,Calvin Christian School,92026,6073,107,,,,,,,,,,,,,,,.7070778,.048044253
00082957,Ripon Christian Schools,95366,6077,190,,,,,,,,,,,,,,,.63240671,.033569023
00083065,Monte Vista Christian School,95076,6087,730,1.76801,.046549998,,,1.80496,.031769998,,,1.7067,,-.035920002,,-.057569999,,.54657,.065410003
00083145,San Francisco Christian School,94112,6075,78,,,,,,,,,,,,,,,.74318558,.021012638
00083167,Pilgrim School,90020,6037,92,,,,,,,,,,,,,,,.76486039,.06655021
00083407,Chadwick School,90274,6037,365,,,,,,,,,,,,,,,.72605377,.081876785
00083418,Marlborough School,90004,6037,369,,,,,,,,,,,,,,,.67703891,.11232794
00083429,Head Royce School,94602,6001,370,,,,,,,,,,,,,,,.67993218,.10604192
00083451,Crystal Springs Uplands School,94010,6081,248,,,,,,,,,,,,,,,.71307755,.085221708
00083462,La Jolla Country Day School,92037,6073,483,,,,,,,,,,,,,,,.65310133,.056352805
00083473,Marin Academy,94901,6041,424,,,,,,,,,,,,,,,.69060153,.11249492
00083484,The Webb Schools,91711,6037,412,,,,,,,,,,,,,,,.67349976,.058698837
00083509,San Francisco University HS,94115,6075,400,,,,,,,,,,,,,,,.66064268,.10321768
00083531,Westridge School For Girls,91105,6037,295,,,,,,,,,,,,,,,.68646359,.12802994
00083575,Lick-Wilmerding HS,94112,6075,490,,,,,,,,,,,,,,,.66796023,.11593736
00083597,The College Preparatory School,94618,6001,363,,,,,,,,,,,,,,,.67995167,.094412841
00083611,The Athenian School,94506,6013,349,,,,,,,,,,,,,,,.70971757,.1126563
00083655,Polytechnic School,91106,6037,374,,,,,,,,,,,,,,,.69799268,.080961965
00084047,Bentley School,94618,6001,325,,,,,,,,,,,,,,,.65767384,.081574433
00084615,Capistrano Valley Christian Schools,92675,6059,198,,,,,,,,,,,,,,,.72584611,.047687605
00085051,Vacaville Christian Schools,95687,6095,254,,,,,,,,,,,,,,,.62784225,.03415921
00088245,Maybeck HS,94705,6001,109,,,,,,,,,,,,,,,.73462701,.13410452
00091145,Linfield Christian School,92592,6065,366,,,,,,,,,,,,,,,.6426757,.047833156
00091418,Urban School Of San Francisco,94117,6075,420,,,,,,,,,,,,,,,.66498518,.11934327
00092058,Windward School,90066,6037,384,,,,,,,,,,,,,,,.67080665,.081002049
00092138,Woodland Christian School,95776,6113,212,,,,,,,,,,,,,,,.72536999,.02708897
00092499,Rose & Alex Pilibos Armenian School,90027,6037,277,,,,,,,,,,,,,,,.68797648,.073272377
00093142,Faith Baptist Schools,91304,6037,211,,,,,,,,,,,,,,,.64836967,.047999706
00093164,Highland Hall Waldorf School,91325,6037,60,,,,,,,,,,,,,,,.74999493,.081623226
00093368,Hespena Christian School,92345,6071,61,,,,,,,,,,,,,,,.66452342,.041208558
00094408,Glendale Adventist Academy,91206,6037,120,,,,,,,,,,,,,,,.66597635,.06059885
00094441,San Gabriel Academy,91776,6037,247,,,,,,,,,,,,,,,.64442241,.048088863
00094452,San Diego Academy,91950,6073,99,,,,,,,,,,,,,,,.73073786,.048072975
00094474,Loma Linda Academy,92354,6071,437,1.7824399,.043680001,,,1.8294899,.028659999,,,1.72829,,-.031330001,,-.05855,,.59176999,.057009999
00094725,Campbell Hall School,91607,6037,551,,,,,,,,,,,,,,,.6388312,.072494224
00095139,Escondido Adventist Academy,92026,6073,106,,,,,,,,,,,,,,,.77018332,.058711931
00095241,Fresno Adventist Academy,93727,6019,50,,,,,,,,,,,,,,,.76244092,.039520562
00095489,Lodi Academy,95240,6077,92,,,,,,,,,,,,,,,.74798775,.029029127
00095605,Mesa Grande Academy,92320,6065,86,,,,,,,,,,,,,,,.71285737,.048544407
00095671,Monterey Bay Academy,95076,6087,243,,,,,,,,,,,,,,,.66451961,.078420669
00095911,Paradise Adventist Academy,95969,6007,57,,,,,,,,,,,,,,,.79728073,.072216101
00095988,Redlands Adventist Academy,92373,6071,109,,,,,,,,,,,,,,,.72965872,.039619818
00096008,Rio Lindo Adventist Academy,95448,6097,136,,,,,,,,,,,,,,,.7023043,.08244019
00208042,Mullen HS,80236,8031,854,1.79527,.037489999,1.44512,.051649999,1.86456,.022019999,1.49613,.046119999,1.78183,1.39463,-.0075400001,-.036200002,-.046429999,-.072779998,.54974997,.05212
00208097,Holy Family HS,80023,8014,642,,,1.30901,.056460001,,,1.35611,.055369999,,1.30801,,-.00076000002,,-.036770001,.59109998,.05432
00209068,Lutheran HS,80134,8035,387,,,,,,,,,,,,,,,.64851111,.029230459
00209159,Alexander Dawson School,80026,8013,248,,,,,,,,,,,,,,,.74653304,.030720973
00209217,Fountain Valley School Of Colorado,80911,8041,225,,,,,,,,,,,,,,,.70842707,.11588734
00209523,Colorado Rocky Mountain School,81623,8045,167,,,,,,,,,,,,,,,.73676419,.091356829
00209534,Kent Denver School,80113,8005,400,,,,,,,,,,,,,,,.66885072,.046572179
00209545,The Colorado Springs School,80906,8041,96,,,,,,,,,,,,,,,.72361314,.093024053
00209556,Steamboat Mountain School,80487,8107,62,,,,,,,,,,,,,,,.70045263,.075806849
00209614,Vail Mountain School,81657,8037,159,,,,,,,,,,,,,,,.76215678,.060950488
00209873,Colorado Academy,80235,8059,298,,,,,,,,,,,,,,,.69109219,.059288416
00210255,Mile HS Academy,80126,8035,69,,,,,,,,,,,,,,,.75646967,.038119283
00230114,Holy Cross HS,6708,9009,443,1.73438,.038079999,1.37536,.053920001,1.80137,.02492,1.4193799,.051580001,1.70877,1.38915,-.01499,.0099299997,-.054189999,-.02176,.55005002,.043650001
00230169,Sacred Heart HS,6706,9009,352,1.53052,.054480001,1.12481,.073969997,1.64561,.040089998,1.1177,.073890001,1.4909199,1.09013,-.026559999,-.031810001,-.10375,-.025289999,.60530001,.04095
00230293,Northwest Catholic HS,6117,9003,524,1.7379,.040759999,,,1.8384399,.02499,,,1.7462699,,.0047900002,,-.052779999,,.56518,.065449998
00230307,Notre Dame HS,6516,9009,574,1.72777,.049520001,1.584,.061250001,1.82851,.030929999,1.60914,.056770001,1.7404799,1.57418,.0073000002,-.0062299999,-.050579999,-.02221,.54268998,.045940001
00230522,Canterbury School,6776,9005,319,,,,,,,,,,,,,,,.68111354,.11038867
00230963,"Academy Of Our Lady Of Mercy, Lauralton Hall",6460,9009,418,,,,,,,,,,,,,,,.57348752,.090545997
00231082,Sacred Heart Academy,6514,9009,488,,,,,,,,,,,,,,,.59899688,.05080824
00231581,Notre Dame Catholic HS,6825,9001,523,1.57625,.053029999,,,1.72076,.039560001,,,1.63115,,.033659998,,-.05494,,.59362,.035489999
00231661,Immaculate HS,6810,9001,485,,,,,,,,,,,,,,,.66292906,.047311749
00231865,St Joseph HS,6611,9001,798,1.84743,.033799998,,,1.87335,.019929999,,,1.81093,,-.020160001,,-.034469999,,.55594999,.050239999
00231923,Trinity Catholic HS,6905,9001,429,,,,,,,,,,,,,,,.59352231,.052302953
00232122,Kolbe Cathedral HS,6604,9001,301,,,,,,,,,,,,,,,.60852575,.024777124
00232144,Fairfield College Preparatory,6824,9001,826,,,,,,,,,,,,,,,.52792931,.032173641
00232202,Mercy HS,6457,9007,498,1.77244,.042350002,1.57087,.05962,1.86593,.02602,1.59694,.053429998,1.76907,1.58026,-.00191,.0059400001,-.054749999,-.01056,.51076001,.069530003
