college,college_name,zip,county,mean_students_per_cohort,ec_own_ses_college,ec_own_ses_se_college,ec_parent_ses_college,ec_parent_ses_se_college,ec_high_own_ses_college,ec_high_own_ses_se_college,ec_high_parent_ses_college,ec_high_parent_ses_se_college,exposure_own_ses_college,exposure_parent_ses_college,bias_own_ses_college,bias_parent_ses_college,bias_high_own_ses_college,bias_high_parent_ses_college,clustering_college,support_ratio_college,volunteering_rate_college
108800,Lyon College,72501,5063,,1.44017,.04862,1.1327,.063950002,1.49957,.044410001,1.13243,.061790001,1.39121,1.02349,-.035190001,-.10671,-.077890001,-.10644,.51814002,.99919999,.074210003
108900,Arkansas Tech University,72801,5115,951,1.17919,.018440001,.86069,.022949999,1.32198,.01637,.95248997,.02245,1.17572,.85267001,-.00296,-.0094100004,-.12441,-.11707,.23732001,.99225998,.089230001
109000,Arkansas State University,72401,5031,1956.666666666667,1.21556,.01684,.95050001,.02049,1.3645,.01398,1.05357,.01983,1.2218,.92575997,.0051099998,-.02672,-.11679,-.13806,.23678,.99568999,.06146
109100,Arkansas State University-Beebe,72012,5145,644.6666666666666,1.0180399,.032669999,.75620002,.038869999,1.1187299,.030619999,.80132997,.04126,1.0220701,.75455999,.0039400002,-.00217,-.094580002,-.061969999,.26429,.98290002,.067550004
109200,University of Central Arkansas,72035,5045,1487.666666666667,1.38012,.01691,1.05094,.021910001,1.51931,.01321,1.1612,.02028,1.36838,1.04896,-.0085800001,-.00188,-.11029,-.107,.21446,.99158001,.080030002
109300,Central Baptist College,72034,5045,,1.40439,.064630002,1.21866,.078149997,1.49454,.054839998,1.21155,.07361,1.3286999,1.06618,-.05697,-.14301001,-.12482,-.13634001,.48785001,.99728,.06295
109400,University of the Ozarks,72830,5071,107,1.38241,.047479998,1.04637,.064889997,1.44543,.04349,1.08293,.063139997,1.3213,.98584998,-.046250001,-.061390001,-.093939997,-.098480001,.50792998,.99830002,.10029
109500,Crowley's Ridge College,72450,5055,,,,,,,,,,,,,,,,.62088263,.9984026,.033183269
109700,Harding University,72149,5145,790,1.6883301,.01877,1.47255,.02135,1.75595,.01262,1.51282,.0188,1.6645,1.46463,-.01432,-.0054100002,-.05494,-.032900002,.28399,.99814999,.051070001
109800,Henderson State University,71999,5019,503.6666666666667,1.15391,.025690001,.93409002,.031989999,1.28268,.02306,1.00713,.032579999,1.15911,.92719001,.0044800001,-.0074399998,-.10662,-.086220004,.29482001,.99542999,.054590002
109900,Hendrix College,72032,5045,223.5,1.6997,.028179999,1.40532,.042309999,1.7263401,.02244,1.4506,.03858,1.668,1.39985,-.018999999,-.00391,-.034979999,-.036260001,.39692,.99979001,.19647001
110000,John Brown University,72761,5007,234.5,1.62193,.034120001,1.34095,.041930001,1.70745,.0265,1.42521,.03754,1.62072,1.35457,-.00075000001,.01006,-.053520001,-.05215,.34606999,.99871999,.060059998
110100,University of Arkansas at Little Rock,72204,5119,800.3333333333334,1.12841,.02534,.93558002,.035119999,1.2982301,.022190001,1.08241,.033100002,1.15163,.97346002,.020160001,.038910002,-.12729999,-.11192,.2155,.97529,.073169999
110200,Ouachita Baptist University,71998,5019,297.5,1.6684099,.025869999,1.46003,.034000002,1.72261,.02031,1.48908,.031500001,1.62927,1.45207,-.024019999,-.0054799998,-.057289999,-.025490001,.41510999,.99979001,.066200003
110300,Philander Smith College,72202,5119,110.6666666666667,1.09802,.05085,.71469003,.071209997,1.14604,.047460001,.74436998,.073530003,1.02274,.68188,-.07361,-.048110001,-.12057,-.091640003,.49702999,.99721003,.041189998
110400,Phillips Community College of the University of Arkansas,72342,5107,258,.60799003,.042939998,.46555999,.053550001,.72812003,.045480002,.49653,.06312,.62502003,.498,.027240001,.065140001,-.16497,.0029500001,.47165999,.99773002,.032839999
110600,Williams Baptist University,72476,5075,106.6666666666667,1.4056,.054960001,.93325001,.070749998,1.4735399,.048459999,.96385002,.06978,1.33402,.92505997,-.053660002,-.0088600004,-.10459,-.04194,.51642001,.99950999,.058200002
110700,Southern Arkansas University Main Campus,71753,5027,491.3333333333333,1.13258,.026350001,.84960997,.033039998,1.2991101,.02351,.96502,.033519998,1.14042,.85974997,.0068700002,.01179,-.13914999,-.12244,.31830999,.99782997,.10193
110800,University of Arkansas,72701,5143,2286,1.59763,.01253,1.34654,.015769999,1.71321,.0079399999,1.49865,.0127,1.60616,1.3939199,.00532,.033989999,-.066650003,-.075130001,.21636,.99423999,.06397
110900,University of Arkansas for Medical Sciences,72205,5119,,,,,,,,,,,,,,,,.34302229,.84930384,.065153599
111000,University of Arkansas-Fort Smith,72913,5131,972.6666666666666,1.16399,.02062,.79841,.0251,1.2678,.01856,.89595997,.025669999,1.15461,.79136002,-.0081200004,-.0088999998,-.098030001,-.13217001,.23018999,.99636,.066540003
111100,Allan Hancock College,93454,6083,1220,1.13665,.02534,1.0051,.036049999,1.4261301,.018340001,1.25471,.032559998,1.17272,1.08726,.03076,.075570002,-.21608999,-.15401,.20046,.98632002,.042309999
111300,Antelope Valley College,93536,6037,1904.666666666667,1.01572,.02544,.94726002,.035659999,1.2594,.021950001,1.17092,.031970002,1.0569299,1.01679,.038989998,.06837,-.19156,-.15159,.1726,.95093,.03669
111600,Art Center College of Design,91103,6037,109.5,1.81907,.034589998,,,1.8643399,.02141,,,1.81748,,-.00088000001,,-.02579,,.34191999,.99387002,.03692
111700,Azusa Pacific University,91702,6037,647,1.82262,.01977,1.614,.024359999,1.87456,.01138,1.6504101,.019859999,1.8078001,1.6239901,-.0082,.0061499998,-.036929999,-.01627,.22457001,.99552,.052999999
111800,Bakersfield College,93305,6029,8556.333333333334,.94253999,.020129999,.89344001,.029449999,1.2568001,.01726,1.18617,.02664,1.03102,.98321003,.085809998,.091310002,-.21899,-.20642,.16274001,.94810998,.062830001
112200,Biola University,90639,6037,535,1.83643,.018759999,1.66391,.02609,1.8744299,.01188,1.7036999,.02014,1.81888,1.64969,-.0096500004,-.0086200004,-.030540001,-.032740001,.22297999,.99656999,.046149999
112400,Cabrillo College,95003,6087,1641,1.15564,.02812,1.17142,.04115,1.49181,.02022,1.40757,.032639999,1.2929,1.28195,.10616,.086220004,-.15385,-.097989999,.21744999,.98025,.059039999
112500,California Baptist University,92504,6065,197.3333333333333,1.73675,.02801,1.61243,.035920002,1.81111,.01764,1.65274,.025529999,1.69496,1.59014,-.02465,-.01402,-.068520002,-.03937,.24004,.98826998,.035190001
112700,California College of the Arts,94107,6075,123.6666666666667,1.76177,.04936,,,1.812,.033500001,,,1.76089,,-.00050000002,,-.02902,,.38891,.99567997,.067550004
113100,California Institute of Technology,91125,6037,190.6666666666667,1.8407,.02878,1.52456,.05136,1.87569,.018780001,1.5323499,.04981,1.8168,1.5373501,-.01315,.00832,-.03241,.0032500001,.44115999,.99782002,.049169999
113200,California Institute of the Arts,91355,6037,122.6666666666667,1.82342,.040619999,,,1.8353601,.02372,,,1.76967,,-.030379999,,-.03712,,.47420999,1,.10207
113300,California Lutheran University,91360,6111,300,1.84606,.026699999,1.57139,.042100001,1.88526,.01719,1.60576,.033489998,1.81082,1.57601,-.01946,.00293,-.041110002,-.01888,.29598001,.99650002,.06154
113400,California State University Maritime Academy,94590,6095,92,1.67606,.04019,1.46042,.061190002,1.70442,.033160001,1.47834,.05607,1.64952,1.5172499,-.01609,.037459999,-.03328,.02564,.42146,1,.073490001
113700,California State University-Fullerton,92831,6059,2374,1.65337,.021229999,1.2544399,.02698,1.80777,.01267,1.49154,.02055,1.691,1.3473001,.02225,.06893,-.069049999,-.10706,.19234,.94976002,.04888
113800,California State University-East Bay,94542,6001,696.6666666666666,1.63469,.032669999,1.11992,.04417,1.77056,.02083,1.26992,.039209999,1.69725,1.16238,.03686,.036529999,-.043200001,-.09251,.23788001,.95490003,.045120001
113900,California State University-Long Beach,90840,6037,2863.666666666667,1.6815,.01953,1.2600501,.026350001,1.79335,.0115,1.45778,.02052,1.6953599,1.29284,.0081700003,.02537,-.057799999,-.12758,.20130999,.96662998,.070660003
114000,California State University-Los Angeles,90032,6037,1179.666666666667,1.28328,.030610001,.80382001,.04025,1.57103,.02321,.98260999,.04239,1.36821,.78298998,.06208,-.02661,-.14823,-.25494999,.20892,.8969,.03895
114100,California State University-Dominguez Hills,90747,6037,451.3333333333333,1.36175,.039840002,.79067999,.05449,1.55896,.031270001,1.09109,.05878,1.35586,.88454002,-.0043500001,.10611,-.1498,-.23351,.22943,.90441,.034000002
114200,California State University-San Bernardino,92407,6071,1151.666666666667,1.40584,.02812,1.04835,.03709,1.60511,.02128,1.24005,.033500001,1.43318,1.08119,.019069999,.030379999,-.11997,-.14692999,.21537,.93721002,.033829998
114300,California Polytechnic State University-San Luis Obispo,93407,6079,2887.666666666667,1.84725,.01227,1.6115,.01723,1.90038,.0065299999,1.69192,.01296,1.8366899,1.6475199,-.00575,.02186,-.034669999,-.02695,.18993001,.99248999,.070459999
114400,California State Polytechnic University-Pomona,91768,6037,2195.333333333333,1.74418,.021779999,1.33714,.030379999,1.83242,.01409,1.4466701,.024590001,1.74014,1.3365099,-.00232,-.00047,-.053029999,-.082419999,.21295001,.96767998,.0462
114600,California State University-Chico,95929,6007,1895.333333333333,1.52596,.019850001,1.36244,.02537,1.7488199,.01138,1.54319,.018340001,1.59661,1.4368,.04425,.051750001,-.09533,-.074040003,.20835,.98672998,.057429999
114700,California State University-Fresno,93740,6019,1656.333333333333,1.16344,.019130001,1.0835,.02836,1.55296,.01297,1.4757,.020810001,1.2759399,1.2194999,.088169999,.11152,-.21710999,-.21009,.19903,.96543998,.041809998
114900,Humboldt State University,95521,6023,736.6666666666666,1.2668999,.0252,1.26805,.03695,1.41918,.021579999,1.3667099,.031690001,1.32148,1.28969,.041299999,.01678,-.073940001,-.059719998,.21056999,.97728002,.1055
115000,California State University-Sacramento,95819,6067,2041.333333333333,1.45081,.02036,1.2447,.026830001,1.6362,.01438,1.4127001,.022500001,1.46659,1.29581,.01076,.039450001,-.11565,-.090209998,.20374,.95363998,.053259999
115100,San Diego State University,92182,6073,3196.333333333333,1.63794,.019579999,1.37872,.02334,1.81708,.0097599998,1.55114,.017410001,1.68756,1.43689,.0294,.040479999,-.076750003,-.079510003,.19815999,.97324997,.070830002
115300,California State University-Northridge,91330,6037,2348.666666666667,1.49511,.02165,1.0974,.02792,1.72509,.01323,1.32198,.023259999,1.5645,1.12393,.044360001,.023600001,-.10264,-.17622,.19248,.95187002,.04645
115400,San Francisco State University,94132,6075,1854.666666666667,1.7986,.021369999,1.23326,.03035,1.8589,.01297,1.45046,.024560001,1.79173,1.30126,-.0038300001,.05226,-.037489999,-.11466,.18105,.94353002,.082170002
115500,San Jose State University,95192,6085,2182.333333333333,1.80081,.01835,1.27333,.02534,1.86184,.01086,1.47047,.020579999,1.79567,1.3017,-.0028599999,.0218,-.036850002,-.12966,.19102,.96621001,.063419998
115600,Sonoma State University,94928,6097,907.6666666666666,1.73276,.02275,1.51359,.02912,1.84935,.01261,1.61668,.021029999,1.74628,1.52846,.0077399998,.0097200004,-.059020001,-.057720002,.24084,.99074,.062139999
115700,California State University-Stanislaus,95382,6099,603,1.49327,.03035,1.2771699,.043140002,1.6312,.02214,1.42506,.034219999,1.4449199,1.24887,-.033459999,-.02266,-.12892,-.14108001,.23327,.96588999,.039999999
116100,Cerritos College,90650,6037,3216,1.05855,.030780001,.83389002,.0416,1.2843601,.02723,.99676001,.044380002,1.09619,.81737,.034329999,-.02021,-.17166001,-.21947999,.18508001,.86575001,.025250001
116200,Chabot College,94545,6001,2381.666666666667,1.44391,.037519999,.85633999,.046459999,1.66308,.02355,.99959999,.04465,1.53687,.90448999,.060490001,.053240001,-.082120001,-.10515,.20835,.93585002,.035270002
116300,Chaffey College,91737,6071,2802.666666666667,1.23039,.0296,1.14387,.041439999,1.42072,.023779999,1.23762,.035360001,1.26634,1.12023,.02839,-.0211,-.1219,-.10479,.17364,.88435,.027799999
116400,Chapman University,92866,6059,603,1.90175,.01612,1.69179,.02049,1.92381,.0083999997,1.70868,.017659999,1.88527,1.6797,-.0087400004,-.0071999999,-.02045,-.01725,.27487001,.99956,.093280002
116600,Citrus College,91741,6037,2030.666666666667,1.2808501,.0307,1.1339,.042789999,1.49298,.02414,1.28146,.036339998,1.35495,1.1511199,.05469,.01496,-.10187,-.11323,.2129,.92284,.03101
117000,Claremont McKenna College,91711,6037,266,1.90174,.02743,1.6042,.04366,1.92246,.01344,1.64881,.035780001,1.87502,1.61982,-.01425,.0096399998,-.0253,-.017899999,.43448001,1,.096029997
117100,Harvey Mudd College,91711,6037,164,,,1.56775,.053520001,,,1.5836,.050170001,,1.5783,,.0066900002,,-.0033499999,.46224999,.99917001,.096709996
117200,Pitzer College,91711,6037,192,1.8856699,.02767,1.52267,.055009998,1.89327,.017729999,1.5971299,.046890002,1.84516,1.61198,-.021950001,.055410001,-.026070001,.0092099998,.41354999,.99866003,.22332001
117300,Pomona College,91711,6037,369.3333333333333,1.8579,.03011,1.42803,.046829998,1.89048,.01397,1.51258,.039069999,1.8381701,1.49652,-.01073,.045770001,-.02846,-.01073,.34850001,.99804002,.14834
117400,Scripps College,91711,6037,185,,,,,,,,,,,,,,,.38183585,.99979955,.17336696
117700,Cogswell University of Silicon Valley,95134,6085,,,,,,,,,,,,,,,,.63385928,.99748391,
117800,College of Marin,94904,6041,580.6666666666666,1.1671,.05689,.82960999,.076970004,1.60123,.034910001,1.2897,.077359997,1.3434,1.05182,.13123,.21127,-.19192,-.22615001,.25068,.96464998,.04789
117900,Notre Dame de Namur University,94002,6081,,,,,,,,,,,,,,,,.42869946,.99688476,.047085982
118100,College of San Mateo,94402,6081,2601.666666666667,1.7084399,.038309999,1.21939,.058260001,1.77968,.023220001,1.35629,.04905,1.72328,1.2366,.0086200004,.01392,-.032729998,-.096790001,.24811,.95823002,.048969999
118200,College of the Desert,92260,6065,1342.666666666667,.98203999,.026900001,.86882001,.038899999,1.2723401,.02275,1.07048,.038240001,1.04239,.89652997,.0579,.03091,-.22059999,-.19403,.16722,.95599997,.027070001
118300,Holy Names University,94619,6001,,1.66131,.061919998,,,1.70776,.046569999,,,1.64116,,-.01228,,-.040580001,,.49947,.99808002,.043669999
118500,College of the Redwoods,95501,6023,1064.666666666667,.60780001,.02805,.92474002,.041250002,.76977998,.03114,.9946,.04019,.65903002,.94676,.07773,.023259999,-.16806,-.050530002,.27219,.98461998,.085270002
118600,College of the Sequoias,93277,6107,1764.666666666667,1.0017101,.026489999,1.10057,.03988,1.2121201,.02324,1.29494,.033939999,1.01267,1.1145,.01081,.0125,-.19696,-.16189,.18971001,.96131003,.032249998
118700,College of the Siskiyous,96094,6093,345,.87566,.044229999,.93085998,.05759,1.09916,.04403,.98843998,.058419999,.90026999,.89894998,.02734,-.035500001,-.22092,-.099550001,.35997999,.99372,.11463
119000,Contra Costa College,94806,6013,4957.666666666667,1.0937001,.03951,.74024999,.056139998,1.35452,.032889999,.92746001,.063220002,1.15666,.78306001,.05443,.054669999,-.17106999,-.18440001,.21844,.95374,.024150001
119100,Diablo Valley College,94523,6013,4957.666666666667,1.51676,.02802,1.37791,.035739999,1.69865,.01853,1.4893399,.028410001,1.58667,1.41987,.044059999,.02956,-.070579998,-.048930001,.21574999,.95591003,.048610002
119200,Cuesta College,93403,6079,1881.333333333333,1.2923,.029239999,1.20569,.037149999,1.54317,.020780001,1.3164099,.033059999,1.37419,1.2524101,.059590001,.037310001,-.12297,-.051100001,.23805,.98032999,.096369997
119300,Cypress College,90630,6059,8556.333333333334,1.20797,.036189999,1.00887,.047529999,1.48806,.028039999,1.22235,.042539999,1.33034,1.03072,.091980003,.021190001,-.11856,-.18592,.2058,.89532,.030850001
119600,Dominican University of California,94901,6041,137.6666666666667,1.84693,.032430001,1.4960099,.062809996,1.8686,.022159999,1.5108401,.052030001,1.8048199,1.47747,-.023329999,-.01255,-.03534,-.02259,.40029001,.99594998,.05116
119700,El Camino Community College District,90506,6037,3618.333333333333,1.0699,.02737,.98922998,.034650002,1.44705,.02015,1.25371,.032370001,1.19374,.94663,.10374,-.04501,-.2122,-.32438999,.18718,.92161,.029370001
120100,Fullerton College,92832,6059,8556.333333333334,1.1934201,.031640001,.96828997,.040210001,1.55313,.023080001,1.30644,.0361,1.38849,1.07357,.14049,.098070003,-.11857,-.21691,.19780999,.90346003,.03469
